Artist,Title,Spotify ID
Rob $tone,Chill Bill,5uDASfU19gDxSjW8cnCaBp
Rihanna,Needed Me,1Tt4sE4pXi57mTD1GCzsqm
Lukas Graham,7 Years,7129iqBafaphfc3WPCGC0L
Zay Hilfigerrr,Juju On That Beat (TZ Anthem),1lItf5ZXJc1by9SbPeljFd
Jon Bellion,All Time Low,1CnPYaKxTVb4LWOtiGOm0m
FRENSHIP,Capsize,2XMTqoHHSH0lvuXrvIEdco
Adele,Send My Love (To Your New Lover),4BHzQ9C00ceJxfG16AlNWb
Jonas Blue,Fast Car,6OZh916QF8XNunWaP97WEZ
Bruno Mars,Versace On The Floor,0kN8xEmgMW9mh7UmDYHlJP
Drake,Sneakin’,4ckuS4Nj4FZ7i3Def3Br8W
Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,0tICYNayWWhH9GPeFrfjfD
Daddy Yankee,Shaky Shaky,58IL315gMSTD37DOZPJ2hf
Enrique Iglesias,DUELE EL CORAZON,6YZdkObH88npeKrrkb8Ggf
Vice,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),40UroIGvsMPLPBYwH8rMNA
The Weeknd,Sidewalks,4h90qkbnW1Qq6pBhoPvwko
DJ Snake,Middle,4OZEu0Vwq0RB2LAq14v99n
Ed Sheeran,Photograph,6fxVffaTuwjgEk5h9QyRjy
Cheat Codes,Sex,5DA77EqppDmCTWGovd4oTP
MØ,Final Song,4qqArAiTPueDxIp7cf87h7
Bebe Rexha,I Got You,1FUViuNSldssMIawrOXF2i
G-Eazy,"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC
Andy Grammer,Fresh Eyes,4nMlau89VAjmV7agkl7OY3
Hearts & Colors,Lighthouse - Andrelli Remix,04CttTezSnv71USiiG9mIo
21 Savage,No Heart,4gmmRb6bZJffOOiww1JGTO
The Weeknd,Six Feet Under,4mU5iXHeLgbR94siF7p1sY
Ozuna,Dile Que Tu Me Quieres,20ZAJdsKB5IGbGj4ilRt2o
Major Lazer,Lean On (feat. MØ & DJ Snake),4WjH9Bzt3kx7z8kl0awxh4
IAmChino,Ay Mi Dios,6stYbAJgTszHAHZMPxWWCY
Galantis,Love On Me,2MHCiOohBZEQuLgDTPvSzF
Young M.A,OOOUUU,7JYsArznYOjX2jsrT3UEnL
Niall Horan,This Town,5nA67Y0XX9JipZwYxX7Gl7
Childish Gambino,Redbone,3kxfsdsCpFgN412fpnW85Y
AJR,Weak,3E2Zh20GDCR9B1EYjfXWyv
Ed Sheeran,Thinking Out Loud,1Slwb6dOYkBlWal1PGtnNg
