song_id,artist_id,artist_name,duration,explicit,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,analysis_url
5bcTCxgc7xVfSaMV3RuVke,7CajNmpbOovFoOoasH2HaY,Calvin Harris,223413,TRUE,Feels,89,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,4,https://api.spotify.com/v1/audio-analysis/5bcTCxgc7xVfSaMV3RuVke
6Na5uKk5SsqZimk0hAWo8y,3TVXtAsR1Inumwj472S9r4,Drake,234373,FALSE,Signs,79,0.79,0.734,0,-4.66,1,0.0524,0.0853,0.00409,0.112,0.223,107.369,4,https://api.spotify.com/v1/audio-analysis/6Na5uKk5SsqZimk0hAWo8y
6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,229146,TRUE,Don't Quit,62,0.652,0.827,7,-3.98,0,0.0445,0.015,0,0.432,0.659,100.011,4,https://api.spotify.com/v1/audio-analysis/6LOCAhFzZiavHcLJucLuDy
15dnkAHcHC0vrIUlbiPiqU,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,190120,FALSE,I Donâ€™t Know Why,70,0.475,0.657,2,-7.381,1,0.0708,0.0058,8.81E-06,0.181,0.0707,132.071,4,https://api.spotify.com/v1/audio-analysis/15dnkAHcHC0vrIUlbiPiqU
6jmngk8Fwup05JZ6kgXEGX,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,232906,FALSE,Walking The Wire,74,0.539,0.768,4,-5.344,1,0.0336,0.0168,1.43E-06,0.0939,0.12,99.961,4,https://api.spotify.com/v1/audio-analysis/6jmngk8Fwup05JZ6kgXEGX
6kig1UFggPUyZBCvXD3Wod,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,261733,TRUE,No Complaints,79,0.914,0.507,2,-10.784,1,0.164,0.0855,0.0254,0.0797,0.199,123.956,4,https://api.spotify.com/v1/audio-analysis/6kig1UFggPUyZBCvXD3Wod
54h8xHewdRPnYzmbEHBhOO,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,262600,FALSE,Iâ€™ll Make It Up To You,67,0.512,0.685,7,-7.475,1,0.0838,0.00994,0.0219,0.38,0.163,177.031,3,https://api.spotify.com/v1/audio-analysis/54h8xHewdRPnYzmbEHBhOO
7vAXN57IQ0sj049wZGIboE,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,231720,FALSE,Rise Up,70,0.33,0.719,3,-6.557,1,0.0588,0.0117,0.000297,0.0958,0.0886,93.798,4,https://api.spotify.com/v1/audio-analysis/7vAXN57IQ0sj049wZGIboE
5Z3GHaZ6ec9bsiI5BenrbY,6LuN9FCkKOj5PcnpouEgny,Khalid,202546,FALSE,Young Dumb & Broke,95,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66E-05,0.165,0.394,136.949,4,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY
1wC93sZRGcTgKLN2UWRSwW,163tK9Wjr9P9DmM0AVK7lm,Lorde,221874,TRUE,Perfect Places,71,0.621,0.574,1,-5.325,0,0.0555,0.00289,3.04E-05,0.128,0.537,104.344,4,https://api.spotify.com/v1/audio-analysis/1wC93sZRGcTgKLN2UWRSwW
2MX30RliaxJDgmQ3C3rrJX,2cFrymmkijnjDg9SS92EPM,blackbear,212027,TRUE,do re mi,74,0.745,0.605,8,-6.333,1,0.0492,0.00474,9.28E-06,0.136,0.164,110.979,3,https://api.spotify.com/v1/audio-analysis/2MX30RliaxJDgmQ3C3rrJX
4J2RaG4UH2HCThcqzDpeAF,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,186080,FALSE,Start Over,65,0.698,0.929,4,-5.046,1,0.0862,0.00601,6.22E-05,0.128,0.74,98.026,3,https://api.spotify.com/v1/audio-analysis/4J2RaG4UH2HCThcqzDpeAF
3sJHkcxojoJD2Ytbo1yLLF,5DK8eK7fjvRsziXzyr3sFA,Moon Taxi,213693,FALSE,Two High,58,0.649,0.762,11,-5.153,0,0.0447,0.0852,0.00383,0.118,0.48,107.034,4,https://api.spotify.com/v1/audio-analysis/3sJHkcxojoJD2Ytbo1yLLF
7LJjWqhqK594nN7qJzLVXE,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,213264,FALSE,As If It's Your Last,53,0.786,0.853,8,-2.687,1,0.0816,0.0688,0,0.0759,0.45,125.034,4,https://api.spotify.com/v1/audio-analysis/7LJjWqhqK594nN7qJzLVXE
7Fa5UNizycSms5jP3SQD3F,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,284000,TRUE,Shining,66,0.768,0.807,2,-5.508,0,0.106,0.053,2.99E-06,0.214,0.575,112.001,4,https://api.spotify.com/v1/audio-analysis/7Fa5UNizycSms5jP3SQD3F
2rb5MvYT7ZIxbKW5hfcHx8,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,189440,FALSE,Mi Gente,89,0.543,0.677,11,-4.915,0,0.0993,0.0148,6.21E-06,0.13,0.294,103.809,4,https://api.spotify.com/v1/audio-analysis/2rb5MvYT7ZIxbKW5hfcHx8
0Ws8D3EWUDgY962Xftb0h5,7CajNmpbOovFoOoasH2HaY,Calvin Harris,235973,TRUE,Cash Out,67,0.722,0.79,4,-4.867,0,0.241,0.152,0,0.0349,0.434,94.965,4,https://api.spotify.com/v1/audio-analysis/0Ws8D3EWUDgY962Xftb0h5
4vv1KjUzPwrtDbozizSfQc,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,229146,TRUE,Don't Quit,63,0.652,0.827,7,-3.98,0,0.0445,0.015,0,0.432,0.659,100.011,4,https://api.spotify.com/v1/audio-analysis/4vv1KjUzPwrtDbozizSfQc
4KaIJ1FWXUoAAnOts1YWjD,7CajNmpbOovFoOoasH2HaY,Calvin Harris,204280,TRUE,Prayers Up,67,0.821,0.637,9,-4.276,0,0.161,0.433,0,0.209,0.778,86.01,4,https://api.spotify.com/v1/audio-analysis/4KaIJ1FWXUoAAnOts1YWjD
0pJPdSVti6cTM1Q6xYGmcf,7CajNmpbOovFoOoasH2HaY,Calvin Harris,240093,TRUE,Faking It,73,0.776,0.589,9,-4.543,0,0.115,0.319,0,0.0715,0.668,120.034,4,https://api.spotify.com/v1/audio-analysis/0pJPdSVti6cTM1Q6xYGmcf
7iDxZ5Cd0Yg08d4fI5WVtG,7CajNmpbOovFoOoasH2HaY,Calvin Harris,228266,TRUE,Skrt On Me,65,0.713,0.889,0,-3.87,1,0.0376,0.169,5.80E-05,0.169,0.96,101.977,4,https://api.spotify.com/v1/audio-analysis/7iDxZ5Cd0Yg08d4fI5WVtG
1pGAvZo2axYXAXYiSeYEqY,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",255653,TRUE,911 / Mr. Lonely,63,0.48,0.61,0,-7.042,1,0.305,0.0456,0,0.313,0.297,90.034,4,https://api.spotify.com/v1/audio-analysis/1pGAvZo2axYXAXYiSeYEqY
1a0wEEHipnBR7WOHFA6ucQ,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",205093,TRUE,Who Dat Boy,64,0.706,0.485,8,-9.671,1,0.331,0.337,0,0.122,0.144,115.414,4,https://api.spotify.com/v1/audio-analysis/1a0wEEHipnBR7WOHFA6ucQ
0RFFFGtPn6a58RHY3ccVYX,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,243560,TRUE,Si Tu Novio Te Deja Sola,74,0.716,0.461,3,-9.455,0,0.0614,0.545,0,0.102,0.535,121.99,4,https://api.spotify.com/v1/audio-analysis/0RFFFGtPn6a58RHY3ccVYX
1eVRnmGhDPATPxz6kqWuCP,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,177840,TRUE,Uh Huh,37,0.763,0.673,4,-4.906,1,0.201,0.127,4.86E-05,0.0751,0.554,137.937,4,https://api.spotify.com/v1/audio-analysis/1eVRnmGhDPATPxz6kqWuCP
